baslik,konum,fiyat,ilan_tarihi,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ortalama_yakit_tuketimi,yakit_deposu,boya_degisen,takasa_uygun,kimden,tramer
Sahibinden Peugeot 807 2.2 HDi Executive 2005  otomobil,"Güneş Mh. Şahinbey, Gaziantep",450.000 TL,21 Ağustos 2025,Peugeot,807,2.2 HDi Executive,2005,242.000 km,Düz,Dizel,MPV,Gri (metalik),2179 cc,132 hp,Önden Çekiş,İkinci El,"7,4 lt",80 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,
AUTONERJİDEN 2016 SEAT LEON 1.2 TSI STYLE Camtvn+Alcantara+Led,"Osmangazi Mh. Şehitkamil, Gaziantep",1.275.000 TL,20 Ağustos 2025,Seat,Leon,1.2 TSI Style,2016,108.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,
SERVİS BAKIMLI 2022 SKODA OCTAVİA 1.0 TSI e-TEC ELİTE KM:265BİN,"Ertuğrulgazi Mh. Şahinbey, Gaziantep",1.090.000 TL,19 Ağustos 2025,Skoda,Octavia,1.0 e-Tec Elite,2022,265.000 km,Otomatik,Hibrit,Sedan,Gri,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
HATASIZ AYARINDA STYLE,"Karacaahmet Mh. Şehitkamil, Gaziantep",799.999 TL,17 Ağustos 2025,Ford,Focus,1.6 TDCi Style,2017,265.000 km,Düz,Dizel,Sedan,Gri,1560 cc,115 hp,Önden Çekiş,İkinci El,"4,5 lt",55 lt,2 boyalı,Takasa Uygun Değil,Galeriden,
CEYLAN'DAN 2014 BMW 3.16İ M SPORT DEĞİŞENSİZ/HAYALET/NBT/HARMAN,"Hacısiyam Mh. Merkez, Giresun",1.525.000 TL,13 Ağustos 2025,BMW,3 Serisi,316i M Sport,2014,151.000 km,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,126 - 150 HP,Arkadan İtiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,4.0
Sahibinden Opel Astra 1.6 CDTI Design 2016 Model,"Teyyaredüzü Mh. Merkez, Giresun",930.000 TL,30 Haziran 2025,Opel,Astra,1.6 CDTI Design,2016,115.000 km,Otomatik,Dizel,Hatchback/5,Mavi,1598 cc,136 hp,Önden Çekiş,İkinci El,,52 lt,"3 değişen, 2 boyalı",Takasa Uygun,Sahibinden,
Sahibinden Opel Astra 1.6 CDTI Sport 2015 Model,"Bulak Mh. Merkez, Hakkari",665.000 TL,05 Temmuz 2025,Opel,Astra,1.6 CDTI Sport,2015,192.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"4,2 lt",56 lt,"1 değişen, 6 boyalı",,Sahibinden,
Sahibinden Renault Fluence 1.5 dCi Touch 2015 Model,"Madenli Mh. Arsuz, Hatay",655.000 TL,19 Ağustos 2025,Renault,Fluence,1.5 dCi Touch,2015,220.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,Belirtilmemiş,,Sahibinden,
"DENİZ OTOMOTİVDEN SATLIK 1,4 DİZEL STATİON WAGON PEUGEOT","Yıldırım Beyazıt Mh. Payas, Hatay",250.000 TL,16 Ağustos 2025,Peugeot,206,1.4 HDi X-line,2005,240.000 km,Düz,Dizel,Station wagon,Bordo,1398 cc,69 hp,Önden Çekiş,İkinci El,"4,4 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,
Sahibinden Renault Megane 1.5 Blue DCI Icon 2020 Model,"Cumhuriyet Mh. Kumlu, Hatay",1.450.000 TL,13 Ağustos 2025,Renault,Megane,1.5 Blue DCI Icon,2020,102.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,115 hp,Önden Çekiş,İkinci El,"4,2 lt",49 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,
Galeriden Honda Accord 2.0 EX 1990 Model Hatay,"Yıldırım Beyazıt Mh. Payas, Hatay",250.000 TL,08 Ağustos 2025,Honda,Accord,2.0 EX,1990,386.000 km,Düz,LPG & Benzin,Sedan,Mavi,1997 cc,110 hp,Önden Çekiş,İkinci El,,65 lt,Belirtilmemiş,Takasa Uygun,Galeriden,
Sahibinden Toyota Corolla 1.33 Life 2017 Model,"Emre Mh. Merkez, Isparta",980.000 TL,14 Ağustos 2025,Toyota,Corolla,1.33 Life,2017,93.600 km,Düz,Benzin,Sedan,Gri (titanyum),1329 cc,99 hp,Önden Çekiş,İkinci El,"5,8 lt",55 lt,1 boyalı,Takasa Uygun,Sahibinden,
Sahibinden Hyundai Getz 1.5 VGT Start 2009 Model Isparta,"Merkez Merkez, Isparta",300.000 TL,01 Ağustos 2025,Hyundai,Getz,1.5 VGT Start,2009,292.000 km,Düz,Dizel,Hatchback/5,Gri (metalik),1493 cc,88 hp,Önden Çekiş,İkinci El,"4,5 lt",45 lt,"2 değişen, 10 boyalı",,Sahibinden,
Sahibinden Volkswagen Golf 1.6 Comfortline 1999 Model,"Dere Mh. Merkez, Isparta",345.000 TL,02 Temmuz 2025,Volkswagen,Golf,1.6 Comfortline,1999,337.000 km,Düz,LPG & Benzin,Hatchback/5,Lacivert,1595 cc,101 hp,Önden Çekiş,İkinci El,"7,6 lt",55 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Ford Escort 1.6 CLX 1999 Model  pırılpırıl tertemiz bir araç,"Merkez Mh. Erdemli, Mersin",220.000 TL,20 Ağustos 2025,Ford,Escort,1.6 CLX,1999,99.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1597 cc,90 hp,Önden Çekiş,İkinci El,,55 lt,Belirtilmemiş,-,Sahibinden,
Sahibinden Volvo S40 1.6 2004 Model  417.000 km Bej,"Şehitmustafa Mh. Tarsus, Mersin",330.000 TL,18 Ağustos 2025,Volvo,S40,1.6,2004,417.000 km,Düz,Benzin,Sedan,Bej,1596 cc,100 hp,Önden Çekiş,İkinci El,"7,2 lt",62 lt,Tamamı orjinal,,Sahibinden,
NADARLI OTOMOTİV'den DEĞİŞENSİZ BOYASIZ TRAMERSİZ 73'bin KM,"Alata Mh. Erdemli, Mersin",949.900 TL,15 Ağustos 2025,Opel,Corsa,1.4 Enjoy,2017,73.854 km,Otomatik,Benzin,Hatchback/5,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Sahibinden Volkswagen Golf 1.6 TDi BlueMotion Comfortline 2014 Model,"Akdeniz Mh. Mezitli, Mersin",820.000 TL,12 Ağustos 2025,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2014,270.600 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1598 cc,105 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,"1 değişen, 3 boyalı",,Sahibinden,
99 GOLF 1.9 DİZEL DEGİSENSİZ,"Merkez Mh. Sarıyer, İstanbul",420.000 TL,11 Ağustos 2025,Volkswagen,Golf,1.9 TDi Comfortline,1999,260.000 km,Düz,Dizel,Hatchback/5,Mavi,1801 - 2000 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
Sahibinden Opel Insignia 1.6 CDTI Design 2017 Model,"Ulus Mh. Büyükçekmece, İstanbul",1.060.000 TL,21 Ağustos 2025,Opel,Insignia,1.6 CDTI Design,2017,151.000 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,5 lt,70 lt,6 boyalı,,Sahibinden,
"2015CIKIŞ""SIFIR MUAYNELİ""BAKIMLI","Barbaros Hayrettinpaşa Mh. Gaziosmanpaşa, İstanbul",498.500 TL,21 Ağustos 2025,Renault,Fluence,1.5 dCi Touch Plus,2014,300.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"4,5 lt",60 lt,"1 değişen, 6 boyalı",Takasa Uygun,Galeriden,
UNİQ CARS BOYASIZ TRAMERSİZ 2022 FİAT 500 DOLCEVİTA CABRİO,"Eyüp Sultan Mh. Sancaktepe, İstanbul",935.000 TL,21 Ağustos 2025,Fiat,500 Ailesi,500 1.0 Hybrid Dolcevita,2022,10.800 km,Düz,Hibrit,Cabrio,Gri,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
Sahibinden Honda Civic 1.6 i-VTEC ECO Elegance 2020 Model,"Örnekköy Mh. Karşıyaka, İzmir",1.525.000 TL,21 Ağustos 2025,Honda,Civic,1.6 i-VTEC ECO Elegance,2020,75.500 km,Yarı Otomatik,LPG & Benzin,Sedan,Füme,1597 cc,125 hp,Önden Çekiş,İkinci El,"6,3 lt",46 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,
beyaz melek golf hatasız boyasız değişen siz yazınız mesaj atın konuşalım,"Mehmet Akif Ersoy Mh. Kemalpaşa, İzmir",1.315.000 TL,20 Ağustos 2025,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2019,181.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,
Sahibinden Opel Astra 1.3 CDTI Sport 2012 Model Sunrooflu,"Muratbey Mh. Torbalı, İzmir",650.000 TL,19 Ağustos 2025,Opel,Astra,1.3 CDTI Sport,2012,234.000 km,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",56 lt,"1 değişen, 4 boyalı",,Sahibinden,
ÇELİK AUTO'DAN 2014 MODEL 1.6 DİZEL JETTA TERTEMİZ YENİ KASA,"Belenbaşı Mh. Buca, İzmir",825.000 TL,19 Ağustos 2025,Volkswagen,Jetta,1.6 TDi Trendline,2014,190.000 km,Düz,Dizel,Sedan,Lacivert,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,5.0
HATASIZ-SUNROOFLU-BULUNMAZ HİNT KUMAŞI MEGANE II,"Şehitler Mh. Merkez, Kars",450.000 TL,08 Temmuz 2025,Renault,Megane,1.6 Dynamique,2004,272.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1598 cc,115 hp,Önden Çekiş,İkinci El,,60 lt,Belirtilmemiş,,Sahibinden,
-MGÖKKOL AUTO'DAN- DEĞİŞENSİZ- BOYASIZ- 230.000 KM-2005 MODEL FOCUS,"Merkez Tosya, Kastamonu",580.000 TL,06 Ağustos 2025,Ford,Focus,1.6 Collection,2005,233.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1596 cc,100 hp,Önden Çekiş,İkinci El,"6,8 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,
2003 Corsa klimalı,"Yıldırım Beyazıt Mh. Melikgazi, Kayseri",235.000 TL,04 Ağustos 2025,Opel,Corsa,1.7 DTi Comfort,2003,310.000 km,Düz,Dizel,Hatchback/3,Beyaz,1686 cc,75 hp,Önden Çekiş,İkinci El,"4,7 lt",44 lt,"2 değişen, 8 boyalı",Takasa Uygun,Galeriden,
İNCAR GROUPTAN \ 2024 SKODA SCALA 1.0TSİ PREMİUM DSG HATASIZ,"Anbar Mh. Melikgazi, Kayseri",1.718.750 TL,20 Ağustos 2025,Skoda,Scala,1.0 TSI Premium,2024,6.050 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,110 hp,Önden Çekiş,İkinci El,"4,8 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
GERİ GÖRÜŞ&AYNA KATLAMA&OTOMATİK,"Merkez Yahyalı, Kayseri",945.000 TL,19 Ağustos 2025,Toyota,Corolla,1.4 D-4D Touch,2018,202.000 km,Otomatik,Dizel,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,5 boyalı,Takasa Uygun Değil,Galeriden,
Sahibinden Ford Fiesta 1.5 TDCi Titanium X 2013 Model,"Yıldızevler Mh. Kocasinan, Kayseri",625.000 TL,17 Ağustos 2025,Ford,Fiesta,1.5 TDCi Titanium X,2013,207.750 km,Düz,Dizel,Hatchback/5,Siyah,1498 cc,75 hp,Önden Çekiş,İkinci El,"3,7 lt",42 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,
Sahibinden Mercedes - Benz C 180 Avantgarde 2013 Model,"Gazikemal Mh. Babaeski, Kırklareli",1.300.000 TL,19 Ağustos 2025,Mercedes - Benz,C,C 180 Avantgarde,2013,174.000 km,Otomatik,Benzin,Sedan,Beyaz,,,,İkinci El,,,1 boyalı,,Sahibinden,
Sahibinden Peugeot 307 1.4 HDi XR 2003 Model,"Kurtuluş Mh. Lüleburgaz, Kırklareli",330.000 TL,16 Temmuz 2025,Peugeot,307,1.4 HDi XR,2003,274.000 km,Düz,Dizel,Hatchback/5,Beyaz,1398 cc,69 hp,Önden Çekiş,İkinci El,"4,5 lt",60 lt,2 boyalı,,Sahibinden,
Sahibinden Ford Focus 1.6 TDCi Trend X 2011 Model,"Müderris Mh. Kaman, Kırşehir",625.000 TL,12 Ağustos 2025,Ford,Focus,1.6 TDCi Trend X,2011,244.000 km,Düz,Dizel,Sedan,Gri,1560 cc,110 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,2 boyalı,Takasa Uygun,Sahibinden,
HATASIZ BOYASIZ OTOMATİK VİTES CİTROEN C3,"Kındam Mh. Merkez, Kırşehir",1.160.000 TL,29 Haziran 2025,Citroen,C3,1.2 PureTech Shine,2023,45.000 km,Otomatik,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
2022 RENAULT CLIO 1.0 JOY X-TRONIC,"İstasyon Mh. Gebze, Kocaeli",1.025.000 TL,20 Ağustos 2025,Renault,Clio,1.0 SCe Joy,2022,65.478 km,Otomatik,Benzin,Hatchback/3,Beyaz,999 cc,90 hp,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Yetkili Bayiden,
2021 MODEL COROLLA 1.5 DREAM OTOMATİK HSR KAYITSIZ 109 BİN KM DE,"Adem Yavuz Mh. Gebze, Kocaeli",1.175.000 TL,19 Ağustos 2025,Toyota,Corolla,1.5 Dream,2021,109.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,5 boyalı,Takasa Uygun,Galeriden,
Sahibinden Renault R 9 1.4 Broadway 1990 Model,"Ataevler Mh. Kartepe, Kocaeli",195.000 TL,17 Ağustos 2025,Renault,R 9,1.4 Broadway,1990,303.000 km,Düz,LPG & Benzin,Sedan,Gri (metalik),1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Belirtilmemiş,,Sahibinden,
Galeriden Renault Scenic 1.5 dCi Privilege 2012 Model Kocaeli,"Yeşilyurt Mh. Başiskele, Kocaeli",765.000 TL,15 Ağustos 2025,Renault,Scenic,1.5 dCi Privilege,2012,217.000 km,Yarı Otomatik,Dizel,MPV,Siyah,1461 cc,110 hp,Önden Çekiş,İkinci El,5 lt,60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,
AĞIRLAR ANIL OTOMOTİV'DEN VOLKSWAGEN POLO 2014 TDI.,"Ziya Gökalp Mh. Ereğli, Konya",675.000 TL,21 Ağustos 2025,Volkswagen,Polo,1.2 TDi Trendline,2014,259.085 km,Düz,Dizel,Hatchback/5,Beyaz,1199 cc,75 hp,Önden Çekiş,İkinci El,"3,8 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
2013 MODEL DEĞİŞENSİZ BAKIMLI ASTRA 1.6 ESSENTİA KONFOR,"Merkez Selçuklu, Konya",565.750 TL,20 Ağustos 2025,Opel,Astra,1.6 Essentia Konfor,2013,183.500 km,Düz,Benzin,Hatchback/5,Gri,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,5 lt",52 lt,2 boyalı,Takasa Uygun,Galeriden,
2021 Boyasız ! 132.000 Km COROLLA DREAM 1.8HYBRİT e-CVT+%20KDVli,"Fevziçakmak Mh. Karatay, Konya",1.315.000 TL,19 Ağustos 2025,Toyota,Corolla,1.8 Hybrid Dream,2021,132.000 km,Otomatik,Hibrit,Sedan,Bej,1601 - 1800 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
Sahibinden Toyota Yaris 1.0 Life 2016 Model,"Barbaros Mh. Ereğli, Konya",735.000 TL,17 Ağustos 2025,Toyota,Yaris,1.0 Life,2016,92.000 km,Düz,Benzin,Hatchback/5,Beyaz,998 cc,69 hp,Önden Çekiş,İkinci El,"4,3 lt",42 lt,Belirtilmemiş,,Sahibinden,
DEĞİŞENSİZ 2013 160 lık BEETLE DSG+SUNROOF,"Çukurköy Mh. Tavşanlı, Kütahya",1.015.000 TL,19 Ağustos 2025,Volkswagen,New Beetle,1.4 TSi Design,2013,186.000 km,Otomatik,Benzin,Hatchback/3,Kırmızı,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,İkinci El,,,5 boyalı,Takasa Uygun,Galeriden,
KENT AUTO'DAN*KARTA 12 TAKSİT*BOYASIZ 2014 137BİNDE ASTRA,"Kavaklı Mh. Tavşanlı, Kütahya",769.000 TL,14 Ağustos 2025,Opel,Astra,1.6 Edition,2014,137.000 km,Düz,Benzin,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
SAHİBİNDEN TEMİZ LADA SAMARA MASRAFSIZ,"Fuatpaşa Mh. Merkez, Kütahya",105.000 TL,09 Ağustos 2025,Lada,Samara,1.5,1993,200.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1499 cc,68 hp,Önden Çekiş,İkinci El,,45 lt,6 boyalı,Takasa Uygun Değil,Galeriden,
Değişensiz düşük kilometreli fiesta (OTOMOBİLDEN),"Uluoymak Mh. Gediz, Kütahya",460.000 TL,25 Temmuz 2025,Ford,Fiesta,1.4 Comfort,2006,165.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1388 cc,80 hp,Önden Çekiş,İkinci El,"6,3 lt",45 lt,6 boyalı,Takasa Uygun Değil,Galeriden,
Sahibinden Fiat Tempra 1.6 SX A 1996 Model,"B. Mustafa Paşa Mh. Battalgazi, Malatya",215.000 TL,17 Ağustos 2025,Fiat,Tempra,1.6 SX A,1996,100.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,90 hp,Önden Çekiş,İkinci El,,65 lt,Belirtilmemiş,,Sahibinden,
ÖZKANLAR'DAN 2011 MODEL CİTROEN C3 1.4HDİ CONFORT ORJİNAL,"Hoca Ahmet Yesevi Mh. Yeşilyurt, Malatya",560.000 TL,09 Ağustos 2025,Citroen,C3,1.4 HDi Confort,2011,128.000 km,Düz,Dizel,Hatchback/5,Siyah,1201 - 1400 cm3,51 - 75 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
Sahibinden Ford Focus 1.5 TDCi Trend X 2020 Model,"Balaban Mh. Darende, Malatya",1.150.000 TL,28 Temmuz 2025,Ford,Focus,1.5 TDCi Trend X,2020,185.000 km,Otomatik,Dizel,Sedan,Gri (Gümüş),1500 cc,120 hp,Önden Çekiş,İkinci El,"4,3 lt",47 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,
Sahibinden Audi A3 Sedan 1.6 TDI S Line 2014 Model,"Tecde Mh. Yeşilyurt, Malatya",1.140.000 TL,12 Temmuz 2025,Audi,A3,A3 Sedan 1.6 TDI S Line,2014,258.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,110 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
DEGİŞENSİZ HATASIZ BOYASIZ,"Beşeylül Mh. Salihli, Manisa",715.000 TL,19 Ağustos 2025,Peugeot,208,1.2 PureTech Active,2014,100.425 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
KARAPINAR OTOMOTİV DEN 2019 EGEA 1.4 EASY HATASIZ,"Şair Eşref Mh. Kırkağaç, Manisa",750.000 TL,15 Ağustos 2025,Fiat,Egea,1.4 Fire Easy,2019,77.000 km,Düz,Benzin,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,
Sahibinden Volkswagen Golf 1.6 Comfortline 2001 Model,"Muradiye Mh. Yunusemre, Manisa",490.000 TL,10 Ağustos 2025,Volkswagen,Golf,1.6 Comfortline,2001,205.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1595 cc,105 hp,Önden Çekiş,İkinci El,"6,8 lt",55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
Sahibinden Opel Vectra 1.6 Comfort 2004 Model,"Uncubozköy Mh. Yunusemre, Manisa",480.000 TL,04 Ağustos 2025,Opel,Vectra,1.6 Comfort,2004,483.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,100 hp,Önden Çekiş,İkinci El,"7,5 lt",61 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
Sahibinden Toyota Corolla 1.6 XL 1990 Model,"Efsus Turan Mh. Afşin, Kahramanmaraş",215.000 TL,19 Ağustos 2025,Toyota,Corolla,1.6 XL,1990,388.000 km,Düz,LPG & Benzin,Sedan,Füme,1587 cc,95 hp,Önden Çekiş,İkinci El,,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,
B'S MOTORS ÖZEL BURMESTER-KLTK ISIT SOĞUT MASAJ-360-MULTİBEAM,"Şehit Abdullah Çavuş Mh. Onikişubat, Kahramanmaraş",4.475.000 TL,16 Ağustos 2025,Mercedes - Benz,E,200 d AMG,2021,80.000 km,Otomatik,Dizel,Sedan,Siyah,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Acil Satlık Tertemiz Fırsat Aracı,"Alpaslan Mh. Afşin, Kahramanmaraş",309.500 TL,12 Ağustos 2025,Toyota,Starlet,1.3 XLi Plus,1998,108.000 km,Düz,Benzin,Hatchback/5,Yeşil,1332 cc,75 hp,Önden Çekiş,İkinci El,"7,2 lt",45 lt,3 boyalı,,Sahibinden,
2011 TOYOTA AVANSİS ELEGANT EXTRA 165.XXXKM'de LPG'li CAMM GİBİ,"Orhangazi Mh. Elbistan, Kahramanmaraş",830.000 TL,07 Ağustos 2025,Toyota,Avensis,1.6 Elegant Extra,2011,166.500 km,Düz,Benzin,Sedan,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"6,6 lt",60 lt,2 boyalı,Takasa Uygun,Galeriden,
Sahibinden Renault Fluence 1.5 dCi Icon 2015 Model,"Akçakaya Mh. Midyat, Mardin",600.000 TL,11 Ağustos 2025,Renault,Fluence,1.5 dCi Icon,2015,310.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,Belirtilmemiş,,Sahibinden,
Acil 1.6 otomatik plus paket açıklamayı okuyun,"13 Mart Mh. Artuklu, Mardin",895.000 TL,22 Temmuz 2025,Fiat,Egea,1.6 Multijet Easy Plus,2019,168.200 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,"3,9 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,
SEBA OTOMOTİVDEN 2008 CLİO SYMBOL 1.4 AUTHENTİQUE,"Yalıkavak Mh. Bodrum, Muğla",357.000 TL,21 Ağustos 2025,Renault,Clio,1.4 Authentique,2008,265.000 km,Düz,Benzin,Sedan,Gri,1201 - 1400 cm3,51 - 75 HP,Önden Çekiş,İkinci El,,,"4 değişen, 5 boyalı",Takasa Uygun,Galeriden,
Sahibinden MINI Cooper 1.6 Türkiye Paketi 2004 Model,"Altıntas Mh. Dalaman, Muğla",465.000 TL,17 Ağustos 2025,Mini,Cooper,1.6 Türkiye Paketi,2004,260.000 km,Düz,LPG & Benzin,Hatchback/3,Mavi (metalik),1598 cc,115 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,3 boyalı,,Sahibinden,
CANER GRUPTAN 2018 HYUNDAI İ 20 dizel 120.000 km de,"Foça Mh. Fethiye, Muğla",869.950 TL,12 Ağustos 2025,Hyundai,i20,1.4 CRDi Style,2018,119.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun,Galeriden,
Sahibinden Kia Rio 1.25 CVVT Natty 2012 Model,"Gökova Mh. Ula, Muğla",450.000 TL,05 Ağustos 2025,Kia,Rio,1.25 CVVT Natty,2012,250.000 km,Düz,Benzin,Hatchback/5,Siyah,1248 cc,85 hp,Önden Çekiş,İkinci El,"5,1 lt",43 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Hatasız Hyundai Accent Era 1.5 CRDi Mode 2011 Model,"Sunay Mh. Hasköy, Muş",510.000 TL,13 Ağustos 2025,Hyundai,Accent Era,1.5 CRDi Mode,2011,268.000 km,Düz,Dizel,Sedan,Gri (metalik),1493 cc,110 hp,Önden Çekiş,İkinci El,"4,6 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,
Sahibinden Volkswagen Polo 1.4 Basicline 2004 Model,"Cevher Dudayev Mh. Merkez, Nevşehir",399.999 TL,16 Ağustos 2025,Volkswagen,Polo,1.4 Basicline,2004,160.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1390 cc,75 hp,Önden Çekiş,İkinci El,"7,4 lt",45 lt,"2 değişen, 7 boyalı",,Sahibinden,
Sahibinden Hyundai Getz 1.5 CRDi VGT 2005 Model,"2000 Evler Mh. Merkez, Nevşehir",350.000 TL,19 Temmuz 2025,Hyundai,Getz,1.5 CRDi VGT,2005,245.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1493 cc,88 hp,Önden Çekiş,İkinci El,"4,5 lt",45 lt,Belirtilmemiş,,Sahibinden,
"""SOYLU""Boyasz-2016-5.20i-Hayalt-Vakum-Nbt-Harman-E.Bgj-102.oooKm","Harım Mh. Bor, Niğde",2.188.000 TL,20 Ağustos 2025,BMW,5 Serisi,520i Executive Luxury Line,2016,102.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
KENDİRLİ AUTO AUDI A4 SEDAN DYNAMIC HAYALET CAM TAVAN BOYASIZ,"İlhanlı Mh. Merkez, Niğde",1.675.000 TL,07 Ağustos 2025,Audi,A4,A4 Sedan 1.4 TFSI Dynamic,2015,175.000 km,Otomatik,Benzin,Sedan,Gri,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
